kind,etag,id,snippet.channelId,snippet.title,snippet.assignable,param_part,param_regionCode,param_hl,param_maxResults,param_pageToken,queryTime
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/JYJbcxzaBS9IEG5_wp8Bup35bGg""",44,UCBR8-60-B28hp2BmDPdntcQ,Tráileres,False,snippet,us,es,,,2020-02-04 13:17:02.261090+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/6v2W9Y9Ifms7uckMnjXEE2jqK5I""",1,UCBR8-60-B28hp2BmDPdntcQ,电影和动画,True,snippet,us,zh-CN,,,2020-02-04 13:17:02.924809+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/6v2W9Y9Ifms7uckMnjXEE2jqK5I""",2,UCBR8-60-B28hp2BmDPdntcQ,汽车,True,snippet,us,zh-CN,,,2020-02-04 13:17:02.924809+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/6v2W9Y9Ifms7uckMnjXEE2jqK5I""",10,UCBR8-60-B28hp2BmDPdntcQ,音乐,True,snippet,us,zh-CN,,,2020-02-04 13:17:02.924809+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/6v2W9Y9Ifms7uckMnjXEE2jqK5I""",15,UCBR8-60-B28hp2BmDPdntcQ,宠物和动物,True,snippet,us,zh-CN,,,2020-02-04 13:17:02.924809+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/6v2W9Y9Ifms7uckMnjXEE2jqK5I""",17,UCBR8-60-B28hp2BmDPdntcQ,体育,True,snippet,us,zh-CN,,,2020-02-04 13:17:02.924809+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/6v2W9Y9Ifms7uckMnjXEE2jqK5I""",18,UCBR8-60-B28hp2BmDPdntcQ,短片,False,snippet,us,zh-CN,,,2020-02-04 13:17:02.924809+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/6v2W9Y9Ifms7uckMnjXEE2jqK5I""",19,UCBR8-60-B28hp2BmDPdntcQ,旅游和活动,True,snippet,us,zh-CN,,,2020-02-04 13:17:02.924809+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/6v2W9Y9Ifms7uckMnjXEE2jqK5I""",20,UCBR8-60-B28hp2BmDPdntcQ,游戏,True,snippet,us,zh-CN,,,2020-02-04 13:17:02.924809+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/6v2W9Y9Ifms7uckMnjXEE2jqK5I""",21,UCBR8-60-B28hp2BmDPdntcQ,视频博客,False,snippet,us,zh-CN,,,2020-02-04 13:17:02.924809+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/6v2W9Y9Ifms7uckMnjXEE2jqK5I""",22,UCBR8-60-B28hp2BmDPdntcQ,人物和博客,True,snippet,us,zh-CN,,,2020-02-04 13:17:02.924809+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/6v2W9Y9Ifms7uckMnjXEE2jqK5I""",23,UCBR8-60-B28hp2BmDPdntcQ,喜剧,True,snippet,us,zh-CN,,,2020-02-04 13:17:02.924809+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/6v2W9Y9Ifms7uckMnjXEE2jqK5I""",24,UCBR8-60-B28hp2BmDPdntcQ,娱乐,True,snippet,us,zh-CN,,,2020-02-04 13:17:02.924809+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/6v2W9Y9Ifms7uckMnjXEE2jqK5I""",25,UCBR8-60-B28hp2BmDPdntcQ,新闻和政治,True,snippet,us,zh-CN,,,2020-02-04 13:17:02.924809+00:00
